"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"199","Cody Thompson","WR","FA","-","-","-","2","-","0","0","-","-","-","-","-","-","-","-","-","-","-","0.7","2"
"200","Mason Kinsey","WR","TEN","-","-","0","0","-","-","BYE","-","-","-","-","-","-","-","0","1.6","0","0","0.3","1.6"
"201","Colton Dowell","WR","FA","-","-","-","0","-","0","-","-","-","-","0","0","0","0","0","1.3","0","-","0.1","1.3"
"202","Antoine Green","WR","FA","-","1.2","-","-","0","0","0","0","-","0","-","-","-","-","-","-","-","0","0.2","1.2"
"202","Kwamie Lassiter II","WR","FA","-","-","-","-","1.2","-","-","-","-","-","-","-","-","-","-","-","-","-","1.2","1.2"
"204","Dee Eskridge","WR","MIA","-","-","-","-","-","-","-","-0.5","0","BYE","0","1","-","-","-","-","-","-","0.1","0.5"
"205","Dylan Drummond","WR","ATL","-","-","-","-","0","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0"
"205","DJ Turner","WR","FA","-","-","-","-","-","-","-","0","0","-","0","-","-","0","0","0","-","0","0","0"
"205","Damiere Byrd","WR","FA","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","0","0"
"205","Stanley Morgan Jr.","WR","FA","-","-","-","-","-","-","-","-","0","0","-","-","-","-","-","-","-","-","0","0"
"205","Terrell Bynum","WR","FA","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","0","0"
"205","Shedrick Jackson","WR","LV","-","-","-","-","-","-","-","-","-","0","0","-","BYE","-","-","-","-","-","0","0"
"205","Dareke Young","WR","SEA","-","-","-","-","BYE","-","-","-","-","0","-","-","-","0","0","0","-","0","0","0"
"205","Kirk Merritt","WR","FA","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"205","Jalen Virgil","WR","BUF","-","-","-","-","-","-","-","0","-","-","-","-","BYE","-","-","-","-","-","0","0"
"205","Dax Milne","WR","FA","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","0","0"
"205","Bobby Brown","WR","FA","0","-","-","-","-","-","-","-","-","-","0","0","0","0","-","-","0","-","0","0"
"205","Chris Blair","WR","ATL","-","-","-","-","-","-","-","-","-","-","BYE","0","-","-","-","-","-","-","0","0"
"205","Cephus Johnson III","WR","FA","0","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0"
"205","Ryan Miller","WR","TB","-","-","-","-","BYE","-","-","-","-","-","-","-","0","-","-","-","-","-","0","0"
"205","Chase Cota","WR","CLE","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","0","-","-","0","0"
"205","Lucky Jackson","WR","MIN","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","0","0","0","0"
"205","Michael Bandy","WR","DEN","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","-","0","0"
"205","Johnny Johnson III","WR","HOU","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","0","0","0"
"205","David Sills","WR","ATL","-","-","-","-","-","-","-","-","-","0","0","0","-","-","-","-","-","-","0","0"
"205","Andre Baccellia","WR","ARI","-","-","-","-","-","-","-","0","0","-","0","0","0","BYE","-","-","-","-","0","0"
"205","Tre'Quan Smith","WR","FA","0","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","0","0"
"205","Dan Chisena","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","0","-","-","0","0"
"205","Ethan Fernea","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","0","0"
"205","Montrell Washington","WR","NYG","-","-","0","0","0","0","-","-","-","-","-","0","BYE","-","-","-","-","-","0","0"
