"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"123","Tylan Wallace","WR","BAL","0","0","0","0","5.1","0","0","0","0","20.5","1.8","2.5","3.4","BYE","1.8","0","1.2","0","2.1","36.3"
"124","Jalen Brooks","WR","DAL","2.8","2","3.4","0","2","2.5","BYE","0","4.6","1.4","-","5.1","1","-","8.7","-","2.2","0","2.6","35.7"
"125","Trey Palmer","WR","TB","2.9","0","0","11.6","-","-","2.6","4.9","5.3","0","BYE","2.8","0","0","0","5.1","0","0","2.3","35.2"
"126","Luke McCaffrey","WR","WAS","4.8","0","7.4","2.7","4.9","1.5","0","1.8","0","3.3","0","1.8","3.3","BYE","1","2.3","0","0","2","34.8"
"127","Mecole Hardman Jr.","WR","GB","0","0","0","0","7.3","-","12.5","1.8","4.7","1.3","4.1","1.5","0","-","-","-","-","-","2.8","33.2"
"128","Ja'Lynn Polk","WR","NE","1.6","9.2","3.3","6","2.3","1.4","0","-","0","7.2","0","1.7","0","BYE","0","0","0","-","2.2","32.7"
"129","Jonathan Mingo","WR","DAL","4.3","1.1","5","5.4","5.7","1.1","0","0","0","-","0","1.8","1.2","0","0","0","2.2","4.4","1.9","32.2"
"130","KhaDarel Hodge","WR","ATL","0","0","0","6","14.7","0","0","0","1.9","0","4.2","BYE","0","0","0","-","1.9","3.4","2","32.1"
"131","Dante Pettis","WR","NO","-","-","-","-","-","-","-","-","-","1.8","1.9","BYE","3.5","0","4.4","5.1","5.7","9.6","4","32"
"132","Malik Heath","WR","GB","-","-","0","3.2","3.4","0","0","0","-","BYE","0","9.5","0","0","-","-","7.3","8.3","2.6","31.7"
"133","Jake Bobo","WR","SEA","0","3.5","0","6","1.3","3.8","0","2.5","0","BYE","0","1.8","0","0","1.8","1.6","0","7.4","1.7","29.7"
"134","Kevin Austin Jr.","WR","NO","-","-","-","-","-","-","-","-","-","5.6","2.8","BYE","7","1.5","1.8","2.7","3.3","2.3","3.4","27"
"135","Bub Means","WR","NO","0","0","-","0","0","15.5","6.7","4.6","-","-","-","BYE","-","-","-","-","-","-","3.8","26.8"
"136","Jamison Crowder","WR","FA","1.5","-","0","-","-","-","-","-","-","-","-","-","-","-","5.7","15.5","5.5","-2","4.4","26.2"
"137","Mason Tipton","WR","NO","1.6","0","3.1","1.6","1.2","2.5","10.5","3.4","0","0","-","BYE","-","-","-","0","-","-","2.2","23.9"
"138","Xavier Hutchinson","WR","HOU","1.3","0","0","0","5.1","0","2.1","2.9","0","2.6","0","0","-","BYE","2.3","1.8","4.1","1.5","1.5","23.7"
"139","Bo Melton","WR","GB","0","0.8","0","3.8","2.2","4.3","1.7","0","2.9","BYE","0","0.5","0","0","0","1.4","4.8","0.1","1.3","22.5"
"140","Trent Sherfield Sr.","WR","DEN","0","2.7","1.8","1.8","0","-","0","8","1.7","2.1","2.6","0","0","0","1.6","0","0","0","1.3","22.3"
"141","Rakim Jarrett","WR","TB","-","-","-","-","-","-","-","8.8","1.9","3","BYE","4","0","0","0","1.6","2.1","0","2.1","21.4"
"142","Devin Duvernay","WR","CHI","0.3","0.4","0.9","0","0.3","-","BYE","-","-","0","0","-","4.3","3.1","7.2","1.3","1.4","0","1.5","19.2"
"142","Ashton Dulin","WR","IND","12.4","2.3","0","0","0.9","0","1.2","0","1.7","0.7","0","0","-","BYE","-","0","0","0","1.3","19.2"
"144","K.J. Osborn","WR","WAS","5.1","1.7","0","1.3","-","-","10.6","0","-","0","-","-","-","BYE","-","-","0","-","2.3","18.7"
"145","Ryan Flournoy","WR","DAL","-","-","-","-","0","0.2","BYE","0","2.3","0","3.9","0","-","0","-","7.1","1.3","3.4","1.7","18.2"
"146","Marquise Brown","WR","KC","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","9.5","8.6","-","9.1","18.1"
"147","Ainias Smith","WR","PHI","-","-","-","-","BYE","-","-","0","1.2","2.6","0","0","-","-","-","-","0","13.9","2.5","17.7"
"148","Simi Fehoko","WR","ARI","0","0","2.7","0","-","6.4","7.5","0","0","-","BYE","-","-","-","-","-","-","-","2.1","16.6"
"149","Zay Jones","WR","ARI","-","-","-","-","-","-","0","1.3","0","0","BYE","0","0","2.3","1.3","0","2.9","8.6","1.5","16.4"
"150","Bryce Oliver","WR","TEN","-","-","-","-","BYE","-","-","-","0","4.3","4.3","0","0","2.6","1.8","0","0","2.5","1.6","15.5"
"151","Parris Campbell","WR","FA","-","0","3.3","11.7","-","-","0","-","-","-","-","-","0","-","-","-","-","-","3","15"
"152","Johnny Wilson","WR","PHI","0","0","1.9","0","BYE","0","0","0","0","7.5","0","0","-","0","0","0","0","5.4","0.9","14.8"
